Condition,Result
22699 22698,22697
22698,22697
22804,85123A
22697 22698,22699
22423 22697,22699
22423 22699,22697
22698,22699
21136,84879
21733, 85123A
22697,22699
22698 22699,22697
22699 22697,22698
22726,22727
22698,22423
22699,22697
22578,22577
22699 22697,22423
85099F,85099B
23300,23301
22697,22698
22577,22578
22386, 85099B
22697,22423
22699,22423
22910,22086
 82494L,82482
82482, 82494L
22722,22720
22727,22726
23301,23300
21977,22726
22699,23300
22384, 
22384,21212
23322,22698
22384,20725
22697,22423 22699
22383,22382
22383,20728
22383,20728
22383,20727
22470,22469
20727,20725
23245,22423
84991,21212
23322,22470
20728,20725
23321,23322
22699,22423 22697
23203, 85099B
22383,20725
20725,20727
20727,22384
20728,22383
20728,22384
23321,22469
20727,22383
23209,23203
20728,22382
20725,20728
22382,22383
22382,20728
20725,22384
22382,20725
22666,22720
22470, 85123A
20725,22382
22469,22470
20727,22382
20728,20727
20727,20728
22086,22910
22382,20727
20725,22383
23203,23209
23298,47566
 85099B,23203
22961,22960
22469, 85123A
21212,21977
 85099B,22386
22960,22961
22470,23322
22720,22666
21212,84991
22960,22720
22457, 85123A
22720,22722
 85099B, 85099F
22720,22960
22469,23321
47566,23298
47566, 85123A
22423,22699
84879, 85123A
 85123A,21733
22423,22697
47566,22423
84879,21136
